feature,importance
numeric__notifications_per_day,3987
numeric__app_opens_per_day,3603
numeric__daily_screen_time_hours,1995
numeric__weekend_screen_time,1874
numeric__social_media_hours,1310
numeric__work_study_hours,1232
numeric__social_media_ratio,1083
numeric__gaming_ratio,813
numeric__gaming_hours,607
numeric__age,418
numeric__sleep_hours,417
numeric__sleep_deficit_from_8h,325
numeric__notifications_per_screen_hour,239
categorical__gender_Male,28
categorical__stress_level_Medium,21
categorical__stress_level_High,18
categorical__gender_Female,7
categorical__gender_Other,7
categorical__academic_work_impact_No,6
categorical__academic_work_impact_Yes,6
categorical__stress_level_Low,4
